,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
0,8.30,https://www.beeradvocate.com/beer/profile/345/294076/,Mighty Things,American Double / Imperial IPA,americandoubleimperialipa,Victory Brewing Company - Downingtown,8.8,4.43,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
1,7.85,https://www.beeradvocate.com/beer/profile/220/74986/,Lagunitas Sucks (Brown Shugga Substitute Ale),American Double / Imperial IPA,americandoubleimperialipa,Lagunitas Brewing Company,5.1,4.1,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
2,9.10,https://www.beeradvocate.com/beer/profile/18539/97414/,Sixteen Point Imperial IPA,American Double / Imperial IPA,americandoubleimperialipa,Devils Backbone Brewing Company,8.6,4.16,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
3,11.50,https://www.beeradvocate.com/beer/profile/68/35754/,Double Dog Double IPA,American Double / Imperial IPA,americandoubleimperialipa,Flying Dog Brewery,6.4,4.15,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
4,8.20,https://www.beeradvocate.com/beer/profile/3818/57908/,2XIPA,American Double / Imperial IPA,americandoubleimperialipa,Southern Tier Brewing Company,3.7,4.17,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
5,8.70,https://www.beeradvocate.com/beer/profile/68/97457/,The Truth Imperial IPA (India Pale Ale),American Double / Imperial IPA,americandoubleimperialipa,Flying Dog Brewery,5.6,4.33,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
6,9.40,https://www.beeradvocate.com/beer/profile/29161/101537/,Bonnie & Clyde Double India Pale Ale,American Double / Imperial IPA,americandoubleimperialipa,Tall Tales Brewing Company,20.3,2.32,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
7,10.00,https://www.beeradvocate.com/beer/profile/21872/75121/,Felony IPA,American Double / Imperial IPA,americandoubleimperialipa,Prism Brewing Company,5.7,3.7,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
8,8.50,https://www.beeradvocate.com/beer/profile/192/90410/,Rampant Imperial IPA,American Double / Imperial IPA,americandoubleimperialipa,New Belgium Brewing,2.1,3.71,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
9,8.70,https://www.beeradvocate.com/beer/profile/345/99873/,DirtWolf,American Double / Imperial IPA,americandoubleimperialipa,Victory Brewing Company - Downingtown,0.2,4.29,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
10,9.50,https://www.beeradvocate.com/beer/profile/345/160104/,Sour Monkey,American Wild Ale,americanwildale,Victory Brewing Company - Downingtown,2.0,4.1,gold,3,0,0,0,2,0,0,3,0,0,0,americanwildale,American Wild Ale,americanwildale
11,6.10,https://www.beeradvocate.com/beer/profile/4/108002/,Allagash Saison Ale,Saison / Farmhouse Ale,saisonfarmhouseale,Allagash Brewing Company,6.5,3.6,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
12,7.00,https://www.beeradvocate.com/beer/profile/16096/59610/,Space Monkey,Saison / Farmhouse Ale,saisonfarmhouseale,Allentown Brew Works,11.4,3.81,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
13,4.40,https://www.beeradvocate.com/beer/profile/96/97326/,Séance,Saison / Farmhouse Ale,saisonfarmhouseale,Magic Hat Brewing Company,0.6,3.14,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
14,6.50,https://www.beeradvocate.com/beer/profile/450/1510/,Yards Saison,Saison / Farmhouse Ale,saisonfarmhouseale,Yards Brewing Co.,7.1,3.79,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
15,4.50,https://www.beeradvocate.com/beer/profile/345/90546/,Swing Session Saison,Saison / Farmhouse Ale,saisonfarmhouseale,Victory Brewing Company - Downingtown,19.5,4.23,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
16,6.50,https://www.beeradvocate.com/beer/profile/42/593/,Rare Vos (Amber Ale),Belgian Pale Ale,belgianpaleale,Brewery Ommegang,3.7,4.22,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
17,5.95,https://www.beeradvocate.com/beer/profile/396/15966/,AleSmith Lil' Devil,Belgian Pale Ale,belgianpaleale,AleSmith Brewing Company,38.0,2.33,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
18,4.50,https://www.beeradvocate.com/beer/profile/392/241650/,Mellow Monks,Belgian Pale Ale,belgianpaleale,Weyerbacher Brewing Co.,4.8,3.91,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
19,6.80,https://www.beeradvocate.com/beer/profile/42/92397/,Fleur De Houblon,Belgian Pale Ale,belgianpaleale,Brewery Ommegang,11.8,4.46,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
20,5.90,https://www.beeradvocate.com/beer/profile/105/1484/,Milwaukee's Best Ice,American Adjunct Lager,americanadjunctlager,Miller Brewing Co.,4.8,1.97,pale,1,0,0,0,1,0,0,0,0,0,0,americanadjunctlager,American Adjunct Lager,americanadjunctlager
21,5.00,https://www.beeradvocate.com/beer/profile/29/65/,Budweiser,American Adjunct Lager,americanadjunctlager,Anheuser-Busch,29.7,1.66,pale,1,0,0,0,1,0,0,0,0,0,0,americanadjunctlager,American Adjunct Lager,americanadjunctlager
22,7.50,https://www.beeradvocate.com/beer/profile/7944/20789/,Very Bad Elf Special Reserve Ale,English Pale Ale,englishpaleale,Ridgeway Brewing,2.3,3.4,gold,2,2,2,2,2,0,0,0,fruit,0,0,englishpaleale,English Pale Ale,englishpaleale
23,6.00,https://www.beeradvocate.com/beer/profile/7944/14422/,Bad Elf Winter's Ale,English India Pale Ale (IPA),englishindiapalealeipa,Ridgeway Brewing,2.8,3.62,gold,2,2,2,0,2,0,0,0,0,0,0,englishindiapalealeipa,English India Pale Ale (IPA),englishindiapalealeipa
24,6.20,https://www.beeradvocate.com/beer/profile/339/21538/,HopFish IPA,English India Pale Ale (IPA),englishindiapalealeipa,Flying Fish Brewing Company,6.2,3.33,gold,2,2,2,0,2,0,0,0,0,0,0,englishindiapalealeipa,English India Pale Ale (IPA),englishindiapalealeipa
25,6.00,https://www.beeradvocate.com/beer/profile/418/3434/,Left Hand Milk Stout,Milk / Sweet Stout,milksweetstout,Left Hand Brewing Company,0,3.99,black,2,0,2,0,3,2,0,0,0,0,0,milksweetstout,Milk / Sweet Stout,milksweetstout
26,7.50,https://www.beeradvocate.com/beer/profile/2210/38180/,Union Jack IPA,American IPA,americanipa,Firestone Walker Brewing Co.,5.2,4.45,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
27,6.50,https://www.beeradvocate.com/beer/profile/12516/79327/,Citra Dog,American IPA,americanipa,Thirsty Dog Brewing Company,1.1,3.83,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
28,6.40,https://www.beeradvocate.com/beer/profile/63/60330/,Fresh Squeezed IPA,American IPA,americanipa,Deschutes Brewery,8.5,4.62,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
29,8.00,https://www.beeradvocate.com/beer/profile/1636/288817/,Hop Regime India Pale Ale,American IPA,americanipa,Fegley's Bethlehem Brew Works,3.4,3.92,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
30,5.90,https://www.beeradvocate.com/beer/profile/392/81883/,Last Chance IPA,American IPA,americanipa,Weyerbacher Brewing Co.,19.7,4.2,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
31,7.20,https://www.beeradvocate.com/beer/profile/140/30420/,Sierra Nevada Torpedo Extra IPA,American IPA,americanipa,Sierra Nevada Brewing Co.,4.6,4.34,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
32,6.90,https://www.beeradvocate.com/beer/profile/3/134574/,Wrought Iron IPA,American IPA,americanipa,Abita Brewing Co.,4.1,4.02,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
33,7.20,https://www.beeradvocate.com/beer/profile/13884/49215/,Peak Organic IPA,American IPA,americanipa,Peak Organic Brewing Company,2.2,3.79,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
34,7.30,https://www.beeradvocate.com/beer/profile/28091/93807/,Techno IPA,American IPA,americanipa,Free Will Brewing Co.,7.7,3.49,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
35,6.30,https://www.beeradvocate.com/beer/profile/700/2018/,The Immortal IPA,American IPA,americanipa,Elysian Brewing Company,1.6,3.78,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
36,6.50,https://www.beeradvocate.com/beer/profile/140/262103/,Beer Camp: Golden IPA (2017),American IPA,americanipa,Sierra Nevada Brewing Co.,3.6,4.01,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
37,7.25,https://www.beeradvocate.com/beer/profile/898/25755/,Loose Cannon Hop3 IPA,American IPA,americanipa,Heavy Seas Beer,2.5,4.1,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
38,6.20,https://www.beeradvocate.com/beer/profile/220/916/,Lagunitas IPA,American IPA,americanipa,Lagunitas Brewing Company,5.4,4.1,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
39,6.00,https://www.beeradvocate.com/beer/profile/394/116820/,Fourplay IPA,American IPA,americanipa,Stoudts Brewing Co.,10.2,3.98,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
40,7.00,https://www.beeradvocate.com/beer/profile/764/20168/,Hoptical Illusion,American IPA,americanipa,Blue Point Brewing Company,6.5,3.94,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
41,6.70,https://www.beeradvocate.com/beer/profile/30902/91794/,Stonefly IPA,American IPA,americanipa,Saucony Creek Brewing Company + Gastropub,4.7,3.42,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
42,7.20,https://www.beeradvocate.com/beer/profile/29022/186295/,Chickity China The Chinese Chicken,American IPA,americanipa,Evil Genius Beer Company,8.0,4.04,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
43,5.50,https://www.beeradvocate.com/beer/profile/392/184625/,IPA #1,American IPA,americanipa,Weyerbacher Brewing Co.,8.9,3.36,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
44,6.00,https://www.beeradvocate.com/beer/profile/29196/88668/,Hopfive IPA,American IPA,americanipa,Susquehanna Brewing Company,7.6,3.54,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
45,7.00,https://www.beeradvocate.com/beer/profile/16096/39732/,Hop Explosion,American IPA,americanipa,Allentown Brew Works,14.5,4.1,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
46,7.10,https://www.beeradvocate.com/beer/profile/68/205/,Snake Dog IPA,American IPA,americanipa,Flying Dog Brewery,1.4,3.52,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
47,6.70,https://www.beeradvocate.com/beer/profile/96/9873/,Hi.P.A.,American IPA,americanipa,Magic Hat Brewing Company,5.5,3.86,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
48,6.70,https://www.beeradvocate.com/beer/profile/345/1005/,HopDevil India Pale Ale,American IPA,americanipa,Victory Brewing Company - Downingtown,9.4,4.44,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
49,7.50,https://www.beeradvocate.com/beer/profile/18724/64897/,Overbite IPA,American IPA,americanipa,Old Forge Brewing Company,5.3,3.96,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
50,7.50,https://www.beeradvocate.com/beer/profile/694/71969/,Tröegs Perpetual IPA,American IPA,americanipa,Tröegs Brewing Company,3.7,4.22,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
51,5.00,https://www.beeradvocate.com/beer/profile/1924/13873/,Bare Ass Blonde Ale,American Blonde Ale,americanblondeale,DuClaw Brewing Company,24.2,2.57,gold,2,1,1,1,1,0,0,0,fruit,0,1,americanblondeale,American Blonde Ale,americanblondeale
52,5.20,https://www.beeradvocate.com/beer/profile/192/607/,Fat Tire Amber Ale,American Amber / Red Ale,americanamberredale,New Belgium Brewing,9.2,3.27,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
53,7.50,https://www.beeradvocate.com/beer/profile/694/15881/,Tröegs Nugget Nectar,American Amber / Red Ale,americanamberredale,Tröegs Brewing Company,1.9,4.24,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
54,4.50,https://www.beeradvocate.com/beer/profile/877/62014/,Special Ale (An American Amber),American Amber / Red Ale,americanamberredale,River Horse Brewing Co.,3.6,3.44,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
55,5.20,https://www.beeradvocate.com/beer/profile/96/97391/,Deveiled,American Amber / Red Ale,americanamberredale,Magic Hat Brewing Company,10.1,3.59,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
56,7.00,https://www.beeradvocate.com/beer/profile/339/78192/,Red Fish India Red Ale,American Amber / Red Ale,americanamberredale,Flying Fish Brewing Company,0,3.67,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
57,5.20,https://www.beeradvocate.com/beer/profile/192/275731/,Fat Tire Belgian White,Witbier,witbier,New Belgium Brewing,2.1,3.69,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
58,5.20,https://www.beeradvocate.com/beer/profile/2447/57631/,Orange Avenue Wit,Witbier,witbier,Coronado Brewing Company,0.3,3.52,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
59,4.60,https://www.beeradvocate.com/beer/profile/392/1636/,Weyerbacher Wit,Witbier,witbier,Weyerbacher Brewing Co.,14.4,3.04,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
60,5.00,https://www.beeradvocate.com/beer/profile/1498/25625/,Kronenbourg 1664 Blanc,Witbier,witbier,Brasseries Kronenbourg,13.3,4.08,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
61,6.40,https://www.beeradvocate.com/beer/profile/63/197/,Obsidian Stout,American Stout,americanstout,Deschutes Brewery,3.6,4.35,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
62,7.50,https://www.beeradvocate.com/beer/profile/345/303464/,Blackboard Series #7 - Black Forest Cake Stout with Cherry,American Stout,americanstout,Victory Brewing Company - Downingtown,8.7,4.01,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
63,6.00,https://www.beeradvocate.com/beer/profile/287/1117/,Bell's Kalamazoo Stout,American Stout,americanstout,"Bell's Brewery, Inc.",2.8,4.09,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
64,7.00,https://www.beeradvocate.com/beer/profile/28510/228643/,Black Dawn Stout,American Stout,americanstout,Relic Brewing Co.,9.2,4.38,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
65,6.00,https://www.beeradvocate.com/beer/profile/15280/255119/,Lip Lock Cherry Stout,American Stout,americanstout,Atwater Brewery,7.2,3.08,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
66,5.60,https://www.beeradvocate.com/beer/profile/392/253356/,Easton Brown & Down,American Brown Ale,americanbrownale,Weyerbacher Brewing Co.,3.2,3.86,dark ,2,2,2,0,2,0,0,0,0,0,0,americanbrownale,American Brown Ale,americanbrownale
67,6.20,https://www.beeradvocate.com/beer/profile/96/141169/,Snow Roller,American Brown Ale,americanbrownale,Magic Hat Brewing Company,4.4,3.29,dark ,2,2,2,0,2,0,0,0,0,0,0,americanbrownale,American Brown Ale,americanbrownale
68,7.20,https://www.beeradvocate.com/beer/profile/64/1161/,Indian Brown Ale,American Brown Ale,americanbrownale,Dogfish Head Craft Brewery,12.0,4.58,dark ,2,2,2,0,2,0,0,0,0,0,0,americanbrownale,American Brown Ale,americanbrownale
69,4.50,https://www.beeradvocate.com/beer/profile/392/295777/,Dallas Sucks,American Pale Ale (APA),americanpalealeapa,Weyerbacher Brewing Co.,9.7,3.37,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
70,5.50,https://www.beeradvocate.com/beer/profile/192/260041/,Voodoo Ranger 8 Hop Pale Ale,American Pale Ale (APA),americanpalealeapa,New Belgium Brewing,4.2,3.99,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
71,5.00,https://www.beeradvocate.com/beer/profile/63/195/,Mirror Pond Pale Ale,American Pale Ale (APA),americanpalealeapa,Deschutes Brewery,1.5,3.96,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
72,6.50,https://www.beeradvocate.com/beer/profile/877/3680/,Hop Hazard Unfiltered American Pale Ale,American Pale Ale (APA),americanpalealeapa,River Horse Brewing Co.,1.4,3.46,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
73,?,https://www.beeradvocate.com/beer/profile/28208/84781/,DC Pale Ale,American Pale Ale (APA),americanpalealeapa,Tuckahoe Brewing Company,7.3,3.69,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
74,4.70,https://www.beeradvocate.com/beer/profile/339/1958/,Extra Pale Ale,American Pale Ale (APA),americanpalealeapa,Flying Fish Brewing Company,1.8,3.26,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
75,5.20,https://www.beeradvocate.com/beer/profile/345/66281/,Headwaters Pale Ale,American Pale Ale (APA),americanpalealeapa,Victory Brewing Company - Downingtown,4.9,4.1,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
76,6.00,https://www.beeradvocate.com/beer/profile/193/98072/,Fall Hornin',Pumpkin Ale,pumpkinale,Anderson Valley Brewing Company,2.8,3.48,amber,2,0,2,0,2,0,pumpkin,0,0,0,0,pumpkinale,Pumpkin Ale,pumpkinale
77,8.10,https://www.beeradvocate.com/beer/profile/877/60166/,Hipp-O-Lantern Imperial Pumpkin Ale,Pumpkin Ale,pumpkinale,River Horse Brewing Co.,4.0,3.61,amber,2,0,2,0,2,0,pumpkin,0,0,0,0,pumpkinale,Pumpkin Ale,pumpkinale
78,5.30,https://www.beeradvocate.com/beer/profile/392/215122/,Line Street Pilsner,Czech Pilsener,czechpilsener,Weyerbacher Brewing Co.,4.5,3.92,gold,2,3,2,0,2,0,0,0,floral,0,2,czechpilsener,Czech Pilsener,czechpilsener
79,8.20,https://www.beeradvocate.com/beer/profile/694/4109/,Tröegs Troegenator Double Bock,Doppelbock,doppelbock,Tröegs Brewing Company,30.2,2.75,dark ,3,0,2,0,3,0,chocolate,0,0,0,0,doppelbock,Doppelbock,doppelbock
80,5.90,https://www.beeradvocate.com/beer/profile/130/101458/,Shake Chocolate Porter,American Porter,americanporter,Boulder Beer / Wilderness Pub,7.2,4.3,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
81,5.80,https://www.beeradvocate.com/beer/profile/19897/49500/,Lucky 7 Porter,American Porter,americanporter,Evolution Craft Brewing Company,7.4,3.94,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
82,6.70,https://www.beeradvocate.com/beer/profile/29022/116670/,Purple Monkey Dishwasher,American Porter,americanporter,Evil Genius Beer Company,18.5,3.08,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
83,6.50,https://www.beeradvocate.com/beer/profile/28208/90054/,Steelmantown Porter,American Porter,americanporter,Tuckahoe Brewing Company,7.7,3.93,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
84,9.30,https://www.beeradvocate.com/beer/profile/392/6073/,Merry Monks,Tripel,tripel,Weyerbacher Brewing Co.,14.9,4.46,gold,2,1,3,1,1,2,0,0,0,0,2,tripel,Tripel,tripel
85,9.50,https://www.beeradvocate.com/beer/profile/208/646/,Westmalle Trappist Tripel,Tripel,tripel,Brouwerij Westmalle,12.3,4.83,gold,2,1,3,1,1,2,0,0,0,0,2,tripel,Tripel,tripel
86,9.50,https://www.beeradvocate.com/beer/profile/345/1003/,Golden Monkey,Tripel,tripel,Victory Brewing Company - Downingtown,25.3,4.66,gold,2,1,3,1,1,2,0,0,0,0,2,tripel,Tripel,tripel
87,4.00,https://www.beeradvocate.com/beer/profile/240/703/,Murphy's Irish Stout,Irish Dry Stout,irishdrystout,Murphy Brewery Ireland Limited,5.1,3.94,black,2,1,2,0,1,0,roasted,0,0,0,2,irishdrystout,Irish Dry Stout,irishdrystout
88,5.50,https://www.beeradvocate.com/beer/profile/25890/74086/,Honey Porter,English Porter,englishporter,Cape May Brewing Company,2.0,3.99,dark ,1,2,0,0,2,1,0,0,0,0,2,englishporter,English Porter,englishporter
89,8.50,https://www.beeradvocate.com/beer/profile/345/87404/,Red Thunder,Baltic Porter,balticporter,Victory Brewing Company - Downingtown,9.8,4.25,dark ,3,0,0,0,2,0,caramel,0,0,0,2,balticporter,Baltic Porter,balticporter
90,5.30,https://www.beeradvocate.com/beer/profile/76/666/,Hacker-Pschorr Dunkel Weisse (Weisse Dark),Dunkelweizen,dunkelweizen,Hacker-Pschorr Bräu GmbH,11.0,4.43,amber,2,0,2,2,2,1,banana,0,0,0,1,dunkelweizen,Dunkelweizen,dunkelweizen
91,5.30,https://www.beeradvocate.com/beer/profile/345/1010/,Prima Pils,German Pilsener,germanpilsener,Victory Brewing Company - Downingtown,2.5,3.92,pale,2,2,0,0,2,0,0,0,floral,0,2,germanpilsener,German Pilsener,germanpilsener
92,4.20,https://www.beeradvocate.com/beer/profile/13667/79421/,Starr Pils,German Pilsener,germanpilsener,Starr Hill Brewery,0.3,3.28,pale,2,2,0,0,2,0,0,0,floral,0,2,germanpilsener,German Pilsener,germanpilsener
93,5.10,https://www.beeradvocate.com/beer/profile/13667/40524/,The Love Wheat Beer,Hefeweizen,hefeweizen,Starr Hill Brewery,1.1,3.5,gold,2,1,0,2,2,0,0,1,0,0,1,hefeweizen,Hefeweizen,hefeweizen
94,5.80,https://www.beeradvocate.com/beer/profile/287/1094/,Bell's Oberon Ale,American Pale Wheat Ale,americanpalewheatale,"Bell's Brewery, Inc.",6.0,4.05,pale,2,1,1,1,2,0,wheat,0,0,0,2,americanpalewheatale,American Pale Wheat Ale,americanpalewheatale
